"40.262181|-94.017129"
"30.462569|-91.090899"
"29.900833|-96.906301"
"42.973808|-90.119979"
"35.111968|-106.608114"
"30.064712|-95.43044"
"33.324294|-105.614426"
"37.6390437|-93.1061393"
"40.28147|-86.478464"
"30.6781469|-88.2225698"
"41.3781973|-88.8443488"
"34.959728|-89.996039"
"27.891997|-81.552969"
"29.061722|-81.301695"
"33.527803|-101.903621"
"33.164864|-85.364371"
"32.202161|-82.362284"
"33.70787|-85.163517"
"31.826074|-81.601756"
"33.5731692|-84.5418153"
"30.8870711|-84.2035475"
"41.879639|-103.678884"
"29.683664|-98.127884"
"28.759625|-81.281708"
"30.593568|-88.162839"
"37.482281|-105.904108"
"32.393959|-104.222987"
"38.427274|-86.934675"
"32.401606|-90.134378"
"29.573345|-95.283131"
"36.38752|-105.586256"
"37.00257|-91.706291"
"31.553404|-91.371779"
"31.579129|-93.508768"
"32.834833|-97.00636"
"35.013875|-80.564009"
"36.519016|-86.038762"
"34.183876|-84.129022"
"33.998141|-81.224767"
"43.017913|-91.10806"
"42.506696|-94.153204"
"40.876676|-97.098794"
"39.527051|-85.743071"
"31.35317|-89.232466"
"38.254537|-94.356466"
"30.859931|-83.94478"
"41.815539|-89.644849"
"41.70526|-93.585035"
"34.83499|-97.597457"
"38.073249|-91.40187"
"28.5659|-81.217771"
"30.896466|-102.907161"
"32.673377|-97.036253"
"31.408738|-103.488371"
"30.826047|-83.31968"
"34.435024|-100.234406"
"30.382508|-87.686381"
"29.565535|-97.9449"
"32.287958|-90.268476"
"35.528593|-108.769019"
"39.643694|-86.823489"
"40.158118|-105.048415"
"36.066625|-95.882795"
"33.042326|-83.94326"
"28.447665|-81.424513"
"42.591163|-88.411543"
"29.9590023|-89.9839444"
"30.043339|-89.961927"
"43.291583|-91.753709"
"29.87864|-90.093306"
"31.318476|-89.379432"
"36.677044|-93.88977"
"31.10974|-99.33078"
"30.441009|-86.64161"
"38.235277|-86.131157"
"32.558194|-94.353214"
"32.580056|-83.696237"
"40.03376|-85.998943"
"38.524593|-106.022649"
"27.984095|-82.301322"
"29.644076|-95.57299"
"34.196077|-101.75319"
"40.627049|-103.2363527"
"32.325856|-86.23242"
"27.636631|-80.442958"
"27.2655144|-80.2875953"
"33.272396|-84.2967"
"30.47255|-90.954325"
"30.6250365|-87.9046017"
"39.140472|-88.561536"
"41.937176|-89.051617"
"32.385046|-86.184915"
"32.75506|-97.433801"
"34.019289|-84.55707"
"31.521421|-97.165389"
"27.896262|-82.248155"
"33.589118|-101.93805"
"28.549548|-81.532397"
"30.727818|-86.564528"
"33.673713|-96.612191"
"35.703382|-81.286787"
"32.649606|-96.872464"
"31.170209|-83.757943"
"28.635005|-81.323329"
"35.207083|-89.782679"
"30.092263|-96.060383"
"41.43277|-90.155134"
"42.736174|-90.437959"
"29.063306|-82.455801"
"28.6495856|-81.4692986"
"28.66579|-82.139288"
"31.871419|-90.409342"
"37.138803|-104.523231"
"30.0747668|-90.4981931"
"32.731493|-97.794862"
"31.683055|-106.311671"
"44.020938|-90.508494"
"37.346206|-108.561898"
"28.136798|-80.581834"
"30.5140772|-89.6624862"
"30.423293|-89.088583"
"40.404373|-105.046623"
"28.458334|-82.631272"
"28.006751|-81.722118"
"32.812396|-97.426058"
"43.570315|-90.886168"
"27.421425|-80.377918"
"30.64744|-81.456183"
"32.180906|-91.72931"
"43.941269|-90.832911"
"28.037986|-80.647952"
"34.000327|-96.41328"
"32.35449|-88.683123"
"40.386203|-104.719081"
"44.097971|-93.249726"
"41.0076525|-91.993235"
"39.586924|-106.096315"
"37.089881|-97.043155"
"26.525299|-81.868597"
"30.600827|-87.11688"
"30.003591|-90.229227"
"30.684378|-88.12497"
"28.180178|-82.467126"
"38.367599|-97.628126"
"28.207804|-82.668333"
"36.047802|-95.961035"
"39.502476|-86.066193"
"39.043571|-94.619378"
"25.925047|-97.47699"
"39.291348|-86.784455"
"29.3588372|-98.6347552"
"41.652891|-88.563421"
"39.036083|-87.130418"
"38.232244|-104.664911"
"27.460293|-82.615299"
"31.964712|-83.761891"
"40.456889|-105.080953"
"43.312655|-90.349051"
"37.127996|-93.458551"
"32.274694|-81.225781"
"34.9131373|-79.7388708"
"43.489327|-88.811465"
"39.656169|-87.431053"
"39.046101|-94.367039"
"31.836124|-106.565677"
"33.700301|-80.226193"
"42.70163|-92.479644"
"43.664017|-93.325601"
"38.82334|-91.142661"
"32.178956|-83.177707"
"38.448662|-105.191452"
"32.3510593|-95.3456446"
"36.692545|-80.880999"
"31.26364|-90.473303"
"32.588146|-82.330518"
"38.865459|-86.514975"
"35.388916|-80.622751"
"40.683779|-89.584886"
"28.762864|-82.549992"
"30.2262571|-85.6462476"
"34.7342509|-80.7847582"
"35.277323|-81.529863"
"38.95545|-85.864506"
"35.335022|-81.899506"
"33.034819|-80.153299"
"44.097475|-93.509965"
"36.471882|-80.618476"
"29.876999|-95.651738"
"26.174683|-97.987624"
